"LTP_ASF"		"2.18V"
"FileName"		"6N170152.P0"
"DateFileSaved"		20161117
"TimeFileStarted"	"15:20:09.7"
"TimeStartedMidnite_s"	55209.7
"AttachedFileName"	""
"AttachedFileType"	""

"IncVariableName"	""
"IncVariableValue"	0.0
"NumSweepsAvgd"		1
"IntersweepIntvl_s"	0.0
"From_1st_Last_Files"	""		""

"NumSamples"		80000
"SampleInterval_ms"	0.025
"Rs_NumSamples"		0
"Rs_SampleInterval_ms"	0.0
"AD_Chs"		"AD0"		"AD1"		"AD0_Rs"	"AD1_Rs"
"AD_DataType"		"pA"		""
"AD_Peak2PeakInput_v"	20.00
"AD_NumBits"		16
"AD_Gain"		500000000	
"AD_DigFilter_Hz"	0
"AD_S0_StimArtBlank_ms"	0.0
"AD_S1_StimArtBlank_ms"	0.0

"RmRs_Stim"		"IC0_Rm"	"IC1_Rm"	"IC0_Rs"	"IC1_Rs"
"RmRsDur_ms"		100.0		0.0
"RmRsPreDur_ms"		100.0
"RmRsPulseAmp_v"	-0.005

"Icell_Epochs"		"A"		"B"		"C"		"D"		"E"		"F"
"EpochDur_ms"		100.0		100.0		0.0		0.0		0.0		0.0
"IC0_Amp_v"		0.000		-0.005
"IC1_Amp_v"		0.000		0.000
"DigOut"		"000"		"000"

"S0_Stim"		"Trains"
"S0_PulseAmp_v"		5.000
"S0_PulseDur_ms"	0.1
"S0_PrePulseDur_ms"	500.0
"S0_NumPulses"		1
"S0_PulseFreq_Hz"	20.0
"S0_NumTrains"		1
"S0_TrainPeriod_ms"	500.0
""
""
""

"S1_Stim"		"None"
""
""
""
""
""
""
""
""
""
""

"AD0"
"pA"
-114.7461
-112.3047
-109.8633
-108.0322
-105.5908
-108.6426
-109.8633
-111.0840
-111.6943
-110.4736
-113.5254
-111.6943
-111.6943
-112.3047
-111.0840
-111.0840
-108.6426
-106.8115
-106.2012
-108.6426
-110.4736
-112.3047
-109.8633
-109.2529
-108.0322
-110.4736
-109.8633
-110.4736
-111.0840
-109.8633
-109.8633
-106.8115
-106.2012
-106.8115
-106.2012
-104.3701
-104.9805
-104.3701
-104.3701
-104.9805
-105.5908
-109.8633
-112.9150
-113.5254
-111.0840
-108.6426
-106.8115
-103.1494
-104.3701
-104.9805
-105.5908
-106.8115
-109.2529
-109.2529
-110.4736
-109.8633
-112.3047
-112.3047
-112.3047
-111.6943
-109.2529
-109.8633
-111.0840
-111.0840
-111.6943
-112.3047
-113.5254
-114.7461
-115.9668
-115.9668
-115.9668
-117.1875
-119.6289
-117.1875
-119.6289
-119.6289
-120.2393
-122.0703
-119.6289
-117.1875
-115.3564
-114.7461
-116.5771
-115.3564
-117.1875
-115.3564
-115.3564
-115.9668
-115.9668
-115.9668
-115.3564
-114.7461
-115.9668
-115.3564
-114.1357
-113.5254
-111.6943
-114.1357
-114.7461
-113.5254
-114.1357
-114.7461
-117.1875
-121.4600
-122.6807
-121.4600
-118.4082
-118.4082
-119.0186
-118.4082
-114.7461
-111.0840
-112.3047
-114.7461
-115.9668
-115.9668
-113.5254
-111.6943
-109.8633
-109.2529
-111.0840
-114.7461
-118.4082
-121.4600
-120.2393
-116.5771
-114.1357
-112.9150
-115.3564
-115.3564
-115.9668
-112.3047
-111.6943
-112.9150
-114.7461
-113.5254
-112.3047
-111.6943
-113.5254
-111.0840
-109.2529
-108.6426
-108.6426
-112.9150
-113.5254
-114.7461
-114.7461
-114.7461
-114.1357
-115.9668
-115.9668
-115.9668
-115.3564
-115.3564
-114.7461
-111.6943
-109.8633
-106.8115
-106.8115
-106.8115
-108.6426
-109.8633
-110.4736
-110.4736
-109.8633
-109.8633
-114.7461
-115.3564
-115.3564
-111.6943
-109.8633
-108.6426
-109.8633
-112.3047
-114.1357
-111.0840
-108.6426
-109.2529
-112.3047
-113.5254
-109.2529
-106.2012
-106.8115
-106.8115
-109.8633
-109.8633
-111.6943
-112.9150
-111.0840
-111.0840
-108.6426
-109.2529
-111.6943
-112.3047
-111.6943
-108.6426
-106.2012
-106.8115
-108.6426
-109.2529
-108.0322
-105.5908
-106.8115
-111.0840
-111.0840
-110.4736
-108.6426
-109.2529
-108.6426
-109.2529
-108.6426
-108.6426
-109.8633
-108.6426
-110.4736
-112.9150
-112.9150
-114.1357
-115.3564
-114.7461
-112.3047
-110.4736
-108.0322
-108.0322
-105.5908
-106.2012
-105.5908
-108.0322
-109.8633
-108.0322
-106.8115
-106.8115
-106.8115
-113.5254
-116.5771
-116.5771
-113.5254
-110.4736
-111.6943
-113.5254
-114.1357
-111.6943
-112.3047
-112.3047
-111.6943
-111.6943
-111.0840
-110.4736
-112.3047
-112.3047
-108.6426
-106.8115
-106.2012
